date,area,average_price,code,houses_sold,no_of_crimes,borough_flag
01/02/2020,city of london,800016,E09000001,21,1582,1
01/03/2020,city of london,836241,E09000001,15,1800,1
01/04/2020,city of london,920444,E09000001,6,1273,1
01/05/2020,city of london,918209,E09000001,5,1451,1
01/06/2020,city of london,882872,E09000001,3,1625,1
01/07/2020,city of london,786627,E09000001,4,1679,1
01/08/2020,city of london,827659,E09000001,7,1634,1
01/09/2020,city of london,798499,E09000001,6,1605,1
01/10/2020,city of london,825742,E09000001,7,1702,1
01/11/2020,city of london,770972,E09000001,10,1711,1
01/12/2020,city of london,794277,E09000001,7,1482,1
01/01/2021,city of london,762757,E09000001,9,1399,1
01/02/2021,city of london,744324,E09000001,,1434,1
01/03/2021,city of london,864354,E09000001,,1578,1
01/02/2020,barking and dagenham,302697,E09000002,126,1582,1
01/03/2020,barking and dagenham,301413,E09000002,91,1800,1
01/04/2020,barking and dagenham,293603,E09000002,47,1273,1
01/05/2020,barking and dagenham,293816,E09000002,48,1451,1
01/06/2020,barking and dagenham,300526,E09000002,91,1625,1
01/07/2020,barking and dagenham,304556,E09000002,86,1679,1
01/08/2020,barking and dagenham,304924,E09000002,103,1634,1
01/09/2020,barking and dagenham,301702,E09000002,119,1605,1
01/10/2020,barking and dagenham,304764,E09000002,154,1702,1
01/11/2020,barking and dagenham,305053,E09000002,119,1711,1
01/12/2020,barking and dagenham,310281,E09000002,130,1482,1
01/01/2021,barking and dagenham,314068,E09000002,82,1399,1
01/02/2021,barking and dagenham,319589,E09000002,,1434,1
01/03/2021,barking and dagenham,317185,E09000002,,1578,1
01/02/2020,barnet,516660,E09000003,263,2592,1
01/03/2020,barnet,522115,E09000003,262,2299,1
01/04/2020,barnet,526689,E09000003,109,1660,1
01/05/2020,barnet,526033,E09000003,72,1994,1
01/06/2020,barnet,518175,E09000003,160,2102,1
01/07/2020,barnet,523280,E09000003,212,2382,1
01/08/2020,barnet,529660,E09000003,214,2381,1
01/09/2020,barnet,533619,E09000003,275,2308,1
01/10/2020,barnet,529762,E09000003,319,2463,1
01/11/2020,barnet,530931,E09000003,325,2402,1
01/12/2020,barnet,533160,E09000003,319,2156,1
01/01/2021,barnet,541622,E09000003,292,1841,1
01/02/2021,barnet,536096,E09000003,,1889,1
01/03/2021,barnet,534005,E09000003,,2473,1
01/02/2020,bexley ,339026,E09000004,255,1462,1
01/03/2020,bexley ,339182,E09000004,266,1284,1
01/04/2020,bexley ,341553,E09000004,102,912,1
01/05/2020,bexley ,339353,E09000004,98,1227,1
01/06/2020,bexley ,340893,E09000004,190,1187,1
01/07/2020,bexley ,344091,E09000004,214,1336,1
01/08/2020,bexley ,346680,E09000004,232,1433,1
01/09/2020,bexley ,345061,E09000004,232,1306,1
01/10/2020,bexley ,345459,E09000004,317,1305,1
01/11/2020,bexley ,347116,E09000004,256,1335,1
01/12/2020,bexley ,353710,E09000004,296,1181,1
01/01/2021,bexley ,358243,E09000004,246,1071,1
01/02/2021,bexley ,361861,E09000004,,1009,1
01/03/2021,bexley ,367015,E09000004,,1255,1
01/02/2020,brent,468311,E09000005,167,2390,1
01/03/2020,brent,466250,E09000005,143,2275,1
01/04/2020,brent,470601,E09000005,56,2032,1
01/05/2020,brent,482808,E09000005,61,2259,1
01/06/2020,brent,484160,E09000005,72,2414,1
01/07/2020,brent,482303,E09000005,120,2603,1
01/08/2020,brent,497729,E09000005,128,2598,1
01/09/2020,brent,519562,E09000005,155,2482,1
01/10/2020,brent,521251,E09000005,160,2606,1
01/11/2020,brent,512271,E09000005,133,2311,1
01/12/2020,brent,495231,E09000005,162,2262,1
01/01/2021,brent,508184,E09000005,126,1922,1
01/02/2021,brent,513426,E09000005,,2071,1
01/03/2021,brent,510533,E09000005,,2253,1
01/02/2020,bromley ,433716,E09000006,365,2074,1
01/03/2020,bromley ,432310,E09000006,387,1768,1
01/04/2020,bromley ,433426,E09000006,133,1444,1
01/05/2020,bromley ,425300,E09000006,155,1644,1
01/06/2020,bromley ,425444,E09000006,256,1693,1
01/07/2020,bromley ,428557,E09000006,337,1925,1
01/08/2020,bromley ,433423,E09000006,333,1786,1
01/09/2020,bromley ,435060,E09000006,404,1910,1
01/10/2020,bromley ,438366,E09000006,477,2073,1
01/11/2020,bromley ,446070,E09000006,434,1863,1
01/12/2020,bromley ,455443,E09000006,486,1670,1
01/01/2021,bromley ,459232,E09000006,374,1495,1
01/02/2021,bromley ,461773,E09000006,,1582,1
01/03/2021,bromley ,463226,E09000006,,1828,1
01/02/2020,camden,819659,E09000007,149,3454,1
01/03/2020,camden,854443,E09000007,153,2720,1
01/04/2020,camden,862077,E09000007,83,1640,1
01/05/2020,camden,855338,E09000007,61,1863,1
01/06/2020,camden,837719,E09000007,73,2083,1
01/07/2020,camden,807904,E09000007,131,2442,1
01/08/2020,camden,824742,E09000007,115,2594,1
01/09/2020,camden,839032,E09000007,155,2605,1
01/10/2020,camden,826733,E09000007,166,2724,1
01/11/2020,camden,818997,E09000007,132,2270,1
01/12/2020,camden,799708,E09000007,139,1974,1
01/01/2021,camden,816544,E09000007,134,1566,1
01/02/2021,camden,820738,E09000007,,1640,1
01/03/2021,camden,796442,E09000007,,2039,1
01/02/2020,croydon,372862,E09000008,311,2914,1
01/03/2020,croydon,371007,E09000008,304,2993,1
01/04/2020,croydon,370032,E09000008,136,2249,1
01/05/2020,croydon,373805,E09000008,126,2508,1
01/06/2020,croydon,372414,E09000008,211,2723,1
01/07/2020,croydon,377278,E09000008,286,3101,1
01/08/2020,croydon,374030,E09000008,296,2938,1
01/09/2020,croydon,377322,E09000008,302,2796,1
01/10/2020,croydon,377156,E09000008,390,2917,1
01/11/2020,croydon,381267,E09000008,376,2640,1
01/12/2020,croydon,381462,E09000008,367,2469,1
01/01/2021,croydon,386804,E09000008,297,2463,1
01/02/2021,croydon,389487,E09000008,,2340,1
01/03/2021,croydon,385345,E09000008,,2664,1
01/02/2020,ealing,467258,E09000009,209,2433,1
01/03/2020,ealing,480330,E09000009,253,2366,1
01/04/2020,ealing,480314,E09000009,118,1997,1
01/05/2020,ealing,473283,E09000009,93,2297,1
01/06/2020,ealing,463424,E09000009,128,2330,1
01/07/2020,ealing,466117,E09000009,134,2576,1
01/08/2020,ealing,483810,E09000009,184,2579,1
01/09/2020,ealing,490928,E09000009,187,2703,1
01/10/2020,ealing,492738,E09000009,215,2763,1
01/11/2020,ealing,495730,E09000009,203,2483,1
01/12/2020,ealing,496607,E09000009,213,2199,1
01/01/2021,ealing,499463,E09000009,178,2101,1
01/02/2021,ealing,497977,E09000009,,1989,1
01/03/2021,ealing,490426,E09000009,,2347,1
01/02/2020,enfield,389691,E09000010,187,2481,1
01/03/2020,enfield,392339,E09000010,171,2367,1
01/04/2020,enfield,395240,E09000010,91,1862,1
01/05/2020,enfield,391460,E09000010,70,2212,1
01/06/2020,enfield,385347,E09000010,147,2352,1
01/07/2020,enfield,386065,E09000010,158,2512,1
01/08/2020,enfield,397145,E09000010,147,2370,1
01/09/2020,enfield,399742,E09000010,187,2644,1
01/10/2020,enfield,405962,E09000010,229,2660,1
01/11/2020,enfield,405704,E09000010,239,2527,1
01/12/2020,enfield,413059,E09000010,238,2228,1
01/01/2021,enfield,418296,E09000010,196,2052,1
01/02/2021,enfield,416895,E09000010,,1891,1
01/03/2021,enfield,428257,E09000010,,2564,1
01/02/2020,greenwich,397389,E09000011,250,2307,1
01/03/2020,greenwich,394446,E09000011,231,2073,1
01/04/2020,greenwich,395917,E09000011,106,1661,1
01/05/2020,greenwich,392507,E09000011,81,2053,1
01/06/2020,greenwich,387218,E09000011,117,2194,1
01/07/2020,greenwich,386101,E09000011,167,2340,1
01/08/2020,greenwich,389491,E09000011,173,2235,1
01/09/2020,greenwich,399104,E09000011,196,2230,1
01/10/2020,greenwich,400712,E09000011,267,2227,1
01/11/2020,greenwich,405694,E09000011,272,2177,1
01/12/2020,greenwich,403274,E09000011,281,1886,1
01/01/2021,greenwich,409863,E09000011,205,1749,1
01/02/2021,greenwich,412010,E09000011,,1855,1
01/03/2021,greenwich,416306,E09000011,,2279,1
01/02/2020,hackney,570774,E09000012,161,2617,1
01/03/2020,hackney,578130,E09000012,143,2378,1
01/04/2020,hackney,579285,E09000012,59,1636,1
01/05/2020,hackney,576964,E09000012,69,2177,1
01/06/2020,hackney,571464,E09000012,108,2411,1
01/07/2020,hackney,584128,E09000012,148,2798,1
01/08/2020,hackney,584804,E09000012,112,2958,1
01/09/2020,hackney,607150,E09000012,165,3153,1
01/10/2020,hackney,596394,E09000012,144,2882,1
01/11/2020,hackney,597194,E09000012,119,2621,1
01/12/2020,hackney,586533,E09000012,135,2313,1
01/01/2021,hackney,601148,E09000012,142,2144,1
01/02/2021,hackney,602497,E09000012,,2016,1
01/03/2021,hackney,604466,E09000012,,2255,1
01/02/2020,hammersmith and fullham,737298,E09000013,168,1765,1
01/03/2020,hammersmith and fullham,717721,E09000013,196,1604,1
01/04/2020,hammersmith and fullham,698951,E09000013,113,1261,1
01/05/2020,hammersmith and fullham,680111,E09000013,91,1381,1
01/06/2020,hammersmith and fullham,718768,E09000013,95,1369,1
01/07/2020,hammersmith and fullham,748437,E09000013,142,1698,1
01/08/2020,hammersmith and fullham,758825,E09000013,146,1720,1
01/09/2020,hammersmith and fullham,752481,E09000013,189,1762,1
01/10/2020,hammersmith and fullham,734430,E09000013,171,1861,1
01/11/2020,hammersmith and fullham,739251,E09000013,146,1466,1
01/12/2020,hammersmith and fullham,726874,E09000013,169,1411,1
01/01/2021,hammersmith and fullham,740878,E09000013,137,1247,1
01/02/2021,hammersmith and fullham,728182,E09000013,,1289,1
01/03/2021,hammersmith and fullham,804517,E09000013,,1587,1
01/02/2020,haringey,540883,E09000014,122,2450,1
01/03/2020,haringey,543929,E09000014,172,2448,1
01/04/2020,haringey,544722,E09000014,80,2027,1
01/05/2020,haringey,549865,E09000014,75,2091,1
01/06/2020,haringey,546376,E09000014,103,2311,1
01/07/2020,haringey,547778,E09000014,120,2564,1
01/08/2020,haringey,565432,E09000014,148,2494,1
01/09/2020,haringey,570180,E09000014,176,2712,1
01/10/2020,haringey,586555,E09000014,193,2447,1
01/11/2020,haringey,582786,E09000014,163,2411,1
01/12/2020,haringey,586212,E09000014,204,2437,1
01/01/2021,haringey,593079,E09000014,168,2000,1
01/02/2021,haringey,593326,E09000014,,1946,1
01/03/2021,haringey,607029,E09000014,,2336,1
01/02/2020,harrow,450393,E09000015,154,1463,1
01/03/2020,harrow,450484,E09000015,160,1367,1
01/04/2020,harrow,451482,E09000015,67,1036,1
01/05/2020,harrow,445417,E09000015,61,1190,1
01/06/2020,harrow,441942,E09000015,110,1072,1
01/07/2020,harrow,445805,E09000015,112,1374,1
01/08/2020,harrow,452524,E09000015,128,1339,1
01/09/2020,harrow,454163,E09000015,156,1402,1
01/10/2020,harrow,459345,E09000015,175,1462,1
01/11/2020,harrow,466270,E09000015,158,1372,1
01/12/2020,harrow,473905,E09000015,153,1275,1
01/01/2021,harrow,475632,E09000015,142,1093,1
01/02/2021,harrow,480006,E09000015,,1091,1
01/03/2021,harrow,479417,E09000015,,1246,1
01/02/2020,havering,363718,E09000016,269,1567,1
01/03/2020,havering,365418,E09000016,270,1442,1
01/04/2020,havering,369485,E09000016,131,942,1
01/05/2020,havering,367940,E09000016,139,1156,1
01/06/2020,havering,371148,E09000016,234,1256,1
01/07/2020,havering,373192,E09000016,217,1500,1
01/08/2020,havering,375067,E09000016,215,1502,1
01/09/2020,havering,373312,E09000016,263,1480,1
01/10/2020,havering,371731,E09000016,302,1630,1
01/11/2020,havering,374373,E09000016,261,1354,1
01/12/2020,havering,378461,E09000016,335,1310,1
01/01/2021,havering,382254,E09000016,262,1155,1
01/02/2021,havering,385328,E09000016,,1198,1
01/03/2021,havering,390902,E09000016,,1389,1
01/02/2020,hillingdon,404051,E09000017,218,2115,1
01/03/2020,hillingdon,409234,E09000017,190,2154,1
01/04/2020,hillingdon,403517,E09000017,88,1597,1
01/05/2020,hillingdon,407142,E09000017,96,1975,1
01/06/2020,hillingdon,403039,E09000017,125,2151,1
01/07/2020,hillingdon,408573,E09000017,183,2140,1
01/08/2020,hillingdon,410161,E09000017,192,2267,1
01/09/2020,hillingdon,410314,E09000017,211,2173,1
01/10/2020,hillingdon,414512,E09000017,273,2154,1
01/11/2020,hillingdon,417042,E09000017,262,2166,1
01/12/2020,hillingdon,426715,E09000017,271,1765,1
01/01/2021,hillingdon,426608,E09000017,193,1653,1
01/02/2021,hillingdon,428206,E09000017,,1705,1
01/03/2021,hillingdon,419408,E09000017,,2003,1
01/02/2020,hounslow,411303,E09000018,159,2053,1
01/03/2020,hounslow,409444,E09000018,173,2082,1
01/04/2020,hounslow,401334,E09000018,85,1786,1
01/05/2020,hounslow,396578,E09000018,62,1929,1
01/06/2020,hounslow,394693,E09000018,91,1968,1
01/07/2020,hounslow,394813,E09000018,132,2190,1
01/08/2020,hounslow,407761,E09000018,134,2058,1
01/09/2020,hounslow,418843,E09000018,137,2227,1
01/10/2020,hounslow,423637,E09000018,159,2113,1
01/11/2020,hounslow,427243,E09000018,182,1968,1
01/12/2020,hounslow,426114,E09000018,190,1665,1
01/01/2021,hounslow,432037,E09000018,142,1599,1
01/02/2021,hounslow,429200,E09000018,,1587,1
01/03/2021,hounslow,423197,E09000018,,2043,1
01/02/2020,islington,668883,E09000019,174,2566,1
01/03/2020,islington,651932,E09000019,235,1999,1
01/04/2020,islington,642190,E09000019,77,1488,1
01/05/2020,islington,630653,E09000019,61,1745,1
01/06/2020,islington,641492,E09000019,66,1935,1
01/07/2020,islington,656971,E09000019,107,2253,1
01/08/2020,islington,678741,E09000019,101,2397,1
01/09/2020,islington,691114,E09000019,126,2365,1
01/10/2020,islington,691885,E09000019,139,2225,1
01/11/2020,islington,675229,E09000019,148,1995,1
01/12/2020,islington,660155,E09000019,155,1846,1
01/01/2021,islington,686589,E09000019,110,1519,1
01/02/2021,islington,689965,E09000019,,1545,1
01/03/2021,islington,682485,E09000019,,1887,1
01/02/2020,kensington and chelsea,1319106,E09000020,103,1769,1
01/03/2020,kensington and chelsea,1344120,E09000020,138,1475,1
01/04/2020,kensington and chelsea,1366508,E09000020,85,895,1
01/05/2020,kensington and chelsea,1353405,E09000020,61,1096,1
01/06/2020,kensington and chelsea,1300968,E09000020,65,1266,1
01/07/2020,kensington and chelsea,1321047,E09000020,105,1663,1
01/08/2020,kensington and chelsea,1344350,E09000020,80,1567,1
01/09/2020,kensington and chelsea,1347733,E09000020,135,1703,1
01/10/2020,kensington and chelsea,1309245,E09000020,136,1758,1
01/11/2020,kensington and chelsea,1322480,E09000020,110,1267,1
01/12/2020,kensington and chelsea,1341825,E09000020,124,1484,1
01/01/2021,kensington and chelsea,1335987,E09000020,107,1055,1
01/02/2021,kensington and chelsea,1265639,E09000020,,1104,1
01/03/2021,kensington and chelsea,1332134,E09000020,,1264,1
01/02/2020,kingston upon thames,487189,E09000021,157,1055,1
01/03/2020,kingston upon thames,486392,E09000021,153,912,1
01/04/2020,kingston upon thames,486367,E09000021,70,684,1
01/05/2020,kingston upon thames,482372,E09000021,52,819,1
01/06/2020,kingston upon thames,478540,E09000021,84,940,1
01/07/2020,kingston upon thames,484775,E09000021,141,1068,1
01/08/2020,kingston upon thames,497936,E09000021,152,1015,1
01/09/2020,kingston upon thames,499978,E09000021,159,1025,1
01/10/2020,kingston upon thames,498419,E09000021,191,964,1
01/11/2020,kingston upon thames,495783,E09000021,214,931,1
01/12/2020,kingston upon thames,499816,E09000021,204,838,1
01/01/2021,kingston upon thames,506885,E09000021,163,722,1
01/02/2021,kingston upon thames,503586,E09000021,,660,1
01/03/2021,kingston upon thames,511318,E09000021,,830,1
01/02/2020,lambeth,517146,E09000022,270,2683,1
01/03/2020,lambeth,514006,E09000022,266,2516,1
01/04/2020,lambeth,503116,E09000022,133,1895,1
01/05/2020,lambeth,513274,E09000022,120,2273,1
01/06/2020,lambeth,520303,E09000022,164,2491,1
01/07/2020,lambeth,538635,E09000022,260,2897,1
01/08/2020,lambeth,538243,E09000022,227,2958,1
01/09/2020,lambeth,544458,E09000022,238,2883,1
01/10/2020,lambeth,543609,E09000022,296,2694,1
01/11/2020,lambeth,544879,E09000022,298,2559,1
01/12/2020,lambeth,538503,E09000022,353,2210,1
01/01/2021,lambeth,543874,E09000022,223,2017,1
01/02/2021,lambeth,533049,E09000022,,2069,1
01/03/2021,lambeth,530046,E09000022,,2557,1
01/02/2020,lewisham,413010,E09000023,229,2217,1
01/03/2020,lewisham,412505,E09000023,240,2106,1
01/04/2020,lewisham,412995,E09000023,108,2017,1
01/05/2020,lewisham,416638,E09000023,123,2271,1
01/06/2020,lewisham,422939,E09000023,162,2294,1
01/07/2020,lewisham,422336,E09000023,204,2512,1
01/08/2020,lewisham,421910,E09000023,231,2457,1
01/09/2020,lewisham,427229,E09000023,265,2412,1
